FALSE,4,OBC,"const bct_id_t block = block_command_table->pos.block;
",,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,CMD22_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 22)",NONE,,,,,,,,,,
,CMD22_PARAM0,uint8_t,,"BCT_get_param_head(block, 22)[0]",HEX,,,,,,,,,,
,CMD22_PARAM1,uint8_t,,"BCT_get_param_head(block, 22)[1]",HEX,,,,,,,,,,
,CMD22_PARAM2,uint8_t,,"BCT_get_param_head(block, 22)[2]",HEX,,,,,,,,,,
,CMD22_PARAM3,uint8_t,,"BCT_get_param_head(block, 22)[3]",HEX,,,,,,,,,,
,CMD22_PARAM4,uint8_t,,"BCT_get_param_head(block, 22)[4]",HEX,,,,,,,,,,
,CMD22_PARAM5,uint8_t,,"BCT_get_param_head(block, 22)[5]",HEX,,,,,,,,,,
,CMD23_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 23)",HEX,,,,,,,,,,
,CMD23_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 23)",NONE,,,,,,,,,,
,CMD23_PARAM0,uint8_t,,"BCT_get_param_head(block, 23)[0]",HEX,,,,,,,,,,
,CMD23_PARAM1,uint8_t,,"BCT_get_param_head(block, 23)[1]",HEX,,,,,,,,,,
,CMD23_PARAM2,uint8_t,,"BCT_get_param_head(block, 23)[2]",HEX,,,,,,,,,,
,CMD23_PARAM3,uint8_t,,"BCT_get_param_head(block, 23)[3]",HEX,,,,,,,,,,
,CMD23_PARAM4,uint8_t,,"BCT_get_param_head(block, 23)[4]",HEX,,,,,,,,,,
,CMD23_PARAM5,uint8_t,,"BCT_get_param_head(block, 23)[5]",HEX,,,,,,,,,,
,CMD24_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 24)",HEX,,,,,,,,,,
,CMD24_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 24)",NONE,,,,,,,,,,
,CMD24_PARAM0,uint8_t,,"BCT_get_param_head(block, 24)[0]",HEX,,,,,,,,,,
,CMD24_PARAM1,uint8_t,,"BCT_get_param_head(block, 24)[1]",HEX,,,,,,,,,,
,CMD24_PARAM2,uint8_t,,"BCT_get_param_head(block, 24)[2]",HEX,,,,,,,,,,
,CMD24_PARAM3,uint8_t,,"BCT_get_param_head(block, 24)[3]",HEX,,,,,,,,,,
,CMD24_PARAM4,uint8_t,,"BCT_get_param_head(block, 24)[4]",HEX,,,,,,,,,,
,CMD24_PARAM5,uint8_t,,"BCT_get_param_head(block, 24)[5]",HEX,,,,,,,,,,
,CMD25_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 25)",HEX,,,,,,,,,,
,CMD25_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 25)",NONE,,,,,,,,,,
,CMD25_PARAM0,uint8_t,,"BCT_get_param_head(block, 25)[0]",HEX,,,,,,,,,,
,CMD25_PARAM1,uint8_t,,"BCT_get_param_head(block, 25)[1]",HEX,,,,,,,,,,
,CMD25_PARAM2,uint8_t,,"BCT_get_param_head(block, 25)[2]",HEX,,,,,,,,,,
,CMD25_PARAM3,uint8_t,,"BCT_get_param_head(block, 25)[3]",HEX,,,,,,,,,,
,CMD25_PARAM4,uint8_t,,"BCT_get_param_head(block, 25)[4]",HEX,,,,,,,,,,
,CMD25_PARAM5,uint8_t,,"BCT_get_param_head(block, 25)[5]",HEX,,,,,,,,,,
,CMD26_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 26)",HEX,,,,,,,,,,
,CMD26_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 26)",NONE,,,,,,,,,,
